County,Metropolitan Area,Year,Population,Total Offenses
Palo Pinto,Dallas ,2021,29322,595
Parker,Dallas ,2021,140843,2001
Rockwall,Dallas ,2021,104913,1237
Somervell,Dallas ,2021,9114,70
Tarrant ,Dallas ,2021,2076694,58320
Wise ,Dallas ,2021,71690,490
Collin,Dallas ,2022,1153886,14899
Dallas,Dallas ,2022,2880842,102437
Denton,Dallas ,2022,744185,11314
Ellis,Dallas ,2022,201136,2583
Erath,Dallas ,2022,44315,437
Hood,Dallas ,2022,65935,808
Hunt,Dallas ,2022,99371,1686
Johnson,Dallas ,2022,201410,2316
Kaufman,Dallas ,2022,169921,2279
Navarro,Dallas ,2022,54737,1000
Palo Pinto,Dallas ,2022,29286,677
Parker,Dallas ,2022,161150,2024
Rockwall,Dallas ,2022,121643,1472
Somervell,Dallas ,2022,9789,77
Tarrant ,Dallas ,2022,2095201,58024
Wise ,Dallas ,2022,75128,809
